% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.006	1	2	101	7	1	28	1095	0
1.006	1	1	101	7	2	28	1095	0
1.007	1	2	101	8	1	28	1095	0
1.007	1	1	101	8	2	28	1095	0
1.015	1	2	102	6	1	28	1095	0
1.015	1	1	102	6	2	28	1095	0
1.016	1	2	102	7	1	28	1095	0
1.016	1	1	102	7	2	28	1095	0
1.025	1	2	103	6	1	28	1095	0
1.025	1	1	103	6	2	28	1095	0
1.026	1	2	103	7	1	28	1095	0
1.026	1	1	103	7	2	28	1095	0
1.035	1	2	104	6	1	28	1095	0
1.035	1	1	104	6	2	28	1095	0
1.036	1	2	104	7	1	28	1095	0
1.036	1	1	104	7	2	28	1095	0
1.045	1	2	105	6	1	28	1095	0
1.045	1	1	105	6	2	28	1095	0
1.046	1	2	105	7	1	28	1095	0
1.046	1	1	105	7	2	28	1095	0
1.055	1	2	106	6	1	28	1095	0
1.055	1	1	106	6	2	28	1095	0
1.056	1	2	106	7	1	28	1095	0
1.056	1	1	106	7	2	28	1095	0
1.065	1	2	107	6	1	28	1095	0
1.065	1	1	107	6	2	28	1095	0
1.066	1	2	107	7	1	28	1095	0
1.066	1	1	107	7	2	28	1095	0
1.075	1	2	108	6	1	28	1095	0
1.075	1	1	108	6	2	28	1095	0
1.076	1	2	108	7	1	28	1095	0
1.076	1	1	108	7	2	28	1095	0
1.085	1	2	109	6	1	28	1095	0
1.085	1	1	109	6	2	28	1095	0
1.086	1	2	109	7	1	28	1095	0
1.086	1	1	109	7	2	28	1095	0
1.095	1	2	110	6	1	28	1095	0
1.095	1	1	110	6	2	28	1095	0
1.096	1	2	110	7	1	28	1095	0
1.096	1	1	110	7	2	28	1095	0
1.105	1	2	111	6	1	28	1095	0
1.105	1	1	111	6	2	28	1095	0
1.106	1	2	111	7	1	28	1095	0
1.106	1	1	111	7	2	28	1095	0
1.115	1	2	112	6	1	28	1095	0
1.115	1	1	112	6	2	28	1095	0
1.116	1	2	112	7	1	28	1095	0
1.116	1	1	112	7	2	28	1095	0
1.125	1	2	113	6	1	28	1095	0
1.125	1	1	113	6	2	28	1095	0
1.126	1	2	113	7	1	28	1095	0
1.126	1	1	113	7	2	28	1095	0
1.135	1	2	114	6	1	28	1095	0
1.135	1	1	114	6	2	28	1095	0
1.136	1	2	114	7	1	28	1095	0
1.136	1	1	114	7	2	28	1095	0
1.145	1	2	115	6	1	28	1095	0
1.145	1	1	115	6	2	28	1095	0
1.146	1	2	115	7	1	28	1095	0
1.146	1	1	115	7	2	28	1095	0
1.155	1	2	116	6	1	28	1095	0
1.155	1	1	116	6	2	28	1095	0
1.156	1	2	116	7	1	28	1095	0
1.156	1	1	116	7	2	28	1095	0
1.165	1	2	117	6	1	28	1095	0
1.165	1	1	117	6	2	28	1095	0
1.166	1	2	117	7	1	28	1095	0
1.166	1	1	117	7	2	28	1095	0
1.175	1	2	118	6	1	28	1095	0
1.175	1	1	118	6	2	28	1095	0
1.176	1	2	118	7	1	28	1095	0
1.176	1	1	118	7	2	28	1095	0
1.185	1	2	119	6	1	28	1095	0
1.185	1	1	119	6	2	28	1095	0
1.186	1	2	119	7	1	28	1095	0
1.186	1	1	119	7	2	28	1095	0
1.195	1	2	120	6	1	28	1095	0
1.195	1	1	120	6	2	28	1095	0
1.196	1	2	120	7	1	28	1095	0
1.196	1	1	120	7	2	28	1095	0
1.205	1	2	121	6	1	28	1095	0
1.205	1	1	121	6	2	28	1095	0
1.206	1	2	121	7	1	28	1095	0
